-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 cudaDeviceGetAttribute         0.00%       5.611us         0.00%       5.611us       0.351us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                         cuLaunchKernel         0.05%      72.550us         0.05%      72.550us       3.023us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            24  
                               TorchDynamo Cache Lookup         0.05%      77.982us         0.05%      77.982us       4.874us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                             Torch-Compiled Region: 1/0         0.27%     412.215us        92.26%     138.336ms      17.292ms       0.000us         0.00%     409.183us      51.148us           0 B           0 B      15.16 MB      15.16 MB             8  
                                      Pregraph bytecode         0.01%      18.470us         0.01%      18.470us       1.154us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                 AOTDispatcher Runtime Wrapper Prologue         0.02%      29.790us         0.02%      29.790us       1.862us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                    cudaPeekAtLastError         0.00%       1.580us         0.00%       1.580us       0.033us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48  
                                          aten::resize_         0.00%       4.100us         0.00%       4.100us       0.513us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                             aten::set_         0.01%      15.030us         0.01%      15.030us       1.879us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                             Torch-Compiled Region: 2/0         0.05%      78.771us         0.07%     100.891us      12.611us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                     aten::resolve_conj         0.00%       0.940us         0.00%       0.940us       0.117us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                      aten::resolve_neg         0.00%       0.480us         0.00%       0.480us       0.060us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                  cudaDeviceSynchronize         0.02%      24.151us         0.02%      24.151us       2.683us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 149.948ms
Self CUDA time total: 137.376ms
