-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.735us         0.14%     184.735us       0.962us           0 B           0 B           0 B           0 B           192  
                                              aten::neg         0.22%     584.458us         0.37%     971.785us       5.061us     168.190us         0.12%     168.190us       0.876us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     168.190us         0.12%     168.190us       0.876us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     160.510us         0.12%     160.510us       2.508us           0 B           0 B           0 B           0 B            64  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     112.926us         0.08%     112.926us       0.882us           0 B           0 B           0 B           0 B           128  
                                              aten::sub         0.13%     343.703us         0.23%     593.873us       4.640us     112.286us         0.08%     112.286us       0.877us           0 B           0 B       2.50 MB       2.50 MB           128  
                                            aten::index         0.21%     552.235us         0.33%     859.075us      13.423us      88.379us         0.06%      88.379us       1.381us           0 B           0 B     768.00 KB     768.00 KB            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      88.379us         0.06%      88.379us       1.381us           0 B           0 B           0 B           0 B            64  
                                   store_kvcache_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      75.841us         0.06%      75.841us       1.185us           0 B           0 B           0 B           0 B            64  
                                 cudaDeviceGetAttribute         0.11%     296.709us         0.11%     296.709us       0.153us      60.768us         0.04%      60.768us       0.031us           0 B           0 B           0 B           0 B          1936  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.945us         0.04%      58.945us       0.921us           0 B           0 B           0 B           0 B            64  
                                          aten::nonzero         0.05%     125.930us         5.57%      14.677ms       1.835ms      30.656us         0.02%      30.656us       3.832us           0 B           0 B           0 B           0 B             8  
                                  cudaStreamIsCapturing         0.00%      12.760us         0.00%      12.760us       0.266us      27.359us         0.02%      27.359us       0.570us           0 B           0 B           0 B           0 B            48  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.278us         0.01%      13.278us       0.277us           0 B           0 B           0 B           0 B            48  
                                       cudaLaunchKernel        11.78%      31.054ms        11.78%      31.054ms       2.076us      11.872us         0.01%      11.872us       0.001us           0 B           0 B           0 B           0 B         14960  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.848us         0.01%      10.848us       1.356us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       9.727us         0.01%       9.727us       1.216us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.02%      60.340us         0.03%      90.580us      11.322us       6.816us         0.00%       6.816us       0.852us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.816us         0.00%       6.816us       0.852us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.00%       5.728us       0.716us           0 B           0 B           0 B           0 B             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.417us         0.00%       4.417us       0.276us           0 B           0 B           0 B           0 B            16  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.353us         0.00%       4.353us       0.544us           0 B           0 B           0 B           0 B             8  
                                       cuLaunchKernelEx         0.26%     697.288us         0.26%     697.288us       2.724us       4.128us         0.00%       4.128us       0.016us           0 B           0 B           0 B           0 B           256  
                                Activity Buffer Request         0.23%     618.157us         0.23%     618.157us     618.157us       3.840us         0.00%       3.840us       3.840us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.785us         0.00%       2.785us       0.348us           0 B           0 B           0 B           0 B             8  
                                           Buffer Flush         0.02%      64.630us         0.02%      64.890us      32.445us       1.120us         0.00%       1.120us       0.560us           0 B           0 B         512 B         512 B             2  
                                   cudaFuncSetAttribute         0.02%      61.160us         0.02%      61.160us       0.956us       0.928us         0.00%       0.928us       0.015us           0 B           0 B           0 B           0 B            64  
                                          ProfilerStep*         0.06%     147.820us       100.00%     263.701ms      32.963ms       0.000us         0.00%     135.897ms      16.987ms           0 B           0 B           0 B           0 B             8  
                                      nano::decode_step        16.12%      42.502ms        99.94%     263.553ms      32.944ms       0.000us         0.00%     135.897ms      16.987ms           0 B        -920 B           0 B     -13.68 GB             8  
                                            aten::empty         0.79%       2.086ms         0.80%       2.109ms       1.425us       0.000us         0.00%       0.000us       0.000us       1.88 KB       1.88 KB       6.14 GB       6.14 GB          1480  
                                         cudaEventQuery         0.01%      28.399us         0.01%      28.399us       0.498us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            57  
                                               aten::to         0.59%       1.557ms         8.96%      23.634ms       5.033us       0.000us         0.00%       5.435ms       1.157us       1.00 KB           0 B     385.25 MB           0 B          4696  
                                       aten::lift_fresh         0.00%       2.820us         0.00%       2.820us       0.044us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                          aten::detach_         0.00%       3.580us         0.00%       3.580us       0.056us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                         aten::_to_copy         1.59%       4.196ms         8.37%      22.077ms       6.448us       0.000us         0.00%       5.435ms       1.587us       1.00 KB           0 B     385.25 MB           0 B          3424  
                                    aten::empty_strided         2.21%       5.825ms         2.21%       5.825ms       1.389us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB     657.50 MB     657.50 MB          4192  
                                        cudaMemcpyAsync         0.68%       1.785ms         0.68%       1.785ms       6.562us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           272  
                               cudaEventRecordWithFlags         0.01%      30.730us         0.01%      30.730us       0.640us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48  
                                 nano::gdn_state_gather         0.72%       1.893ms         1.93%       5.081ms     635.076us       0.000us         0.00%      10.835ms       1.354ms           0 B        -896 B       6.19 GB      -4.00 KB             8  
                                  cudaStreamSynchronize         5.49%      14.485ms         5.49%      14.485ms     452.671us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            32  
                                            aten::slice         0.53%       1.387ms         0.68%       1.803ms       0.880us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2048  
                                       aten::as_strided         0.87%       2.294ms         0.87%       2.294ms       0.277us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          8272  
                                           aten::select         0.35%     918.908us         0.43%       1.130ms       0.981us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                          aten::resize_         0.13%     334.309us         0.13%     334.309us       0.836us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       6.19 GB       6.19 GB           400  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 263.701ms
Self CUDA time total: 136.454ms
