-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 cudaDeviceGetAttribute         0.13%     271.590us         0.13%     271.590us       0.140us     218.493us         0.19%     218.493us       0.113us           0 B           0 B           0 B           0 B          1936  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     207.774us         0.18%     207.774us       1.082us           0 B           0 B           0 B           0 B           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     193.054us         0.17%     193.054us       1.508us           0 B           0 B           0 B           0 B           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.674us         0.16%     184.674us       0.962us           0 B           0 B           0 B           0 B           192  
                                              aten::neg         0.25%     517.900us         0.43%     892.908us       4.651us     165.250us         0.14%     165.250us       0.861us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     165.250us         0.14%     165.250us       0.861us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     162.306us         0.14%     162.306us       2.536us           0 B           0 B           0 B           0 B            64  
                                           Buffer Flush         0.04%      90.540us         0.04%      90.720us      45.360us     127.902us         0.11%     127.902us      63.951us           0 B           0 B     128.00 KB     128.00 KB             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     112.512us         0.10%     112.512us       0.879us           0 B           0 B           0 B           0 B           128  
                                              aten::sub         0.16%     332.160us         0.28%     576.589us       4.505us     112.192us         0.10%     112.192us       0.876us           0 B           0 B       2.50 MB       2.50 MB           128  
                                            aten::index         0.25%     521.208us         0.41%     841.777us      13.153us      88.543us         0.08%      88.543us       1.383us           0 B           0 B     768.00 KB     768.00 KB            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      88.543us         0.08%      88.543us       1.383us           0 B           0 B           0 B           0 B            64  
                                   store_kvcache_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      76.130us         0.07%      76.130us       1.190us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.070us         0.05%      59.070us       0.923us           0 B           0 B           0 B           0 B            64  
                                     aten::index_select         0.02%      48.059us         0.06%     122.939us      15.367us      36.320us         0.03%      36.320us       4.540us           0 B           0 B       1.00 MB           0 B             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      36.320us         0.03%      36.320us       4.540us           0 B           0 B           0 B           0 B             8  
                                          aten::nonzero         0.06%     115.880us         4.74%       9.768ms       1.221ms      30.210us         0.03%      30.210us       3.776us           0 B           0 B           0 B           0 B             8  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.215us         0.01%      13.215us       0.275us           0 B           0 B           0 B           0 B            48  
