-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       9.857us         0.01%       9.857us       1.232us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.03%      65.830us         0.04%      93.531us      11.691us       8.512us         0.01%       8.512us       1.064us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.00%       0.000us         0.00%       0.000us       0.000us       8.512us         0.01%       8.512us       1.064us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.663us         0.00%       5.663us       0.708us           0 B           0 B           0 B           0 B             8  
                                   cudaFuncSetAttribute         0.02%      61.150us         0.02%      61.150us       0.955us       4.448us         0.00%       4.448us       0.070us           0 B           0 B           0 B           0 B            64  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.287us         0.00%       4.287us       0.536us           0 B           0 B           0 B           0 B             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.259us         0.00%       4.259us       0.266us           0 B           0 B           0 B           0 B            16  
                               cudaEventRecordWithFlags         0.01%      29.310us         0.01%      29.310us       0.611us       3.872us         0.00%       3.872us       0.081us           0 B           0 B           0 B           0 B            48  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.688us         0.00%       2.688us       0.336us           0 B           0 B           0 B           0 B             8  
                                  cudaDeviceSynchronize         0.01%      16.121us         0.01%      16.121us       1.791us       0.864us         0.00%       0.864us       0.096us           0 B           0 B           0 B           0 B             9  
